Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 5h 4h,6s,6.8908,61.79,516.407,139.287,38.21,82.0933,71.6192,55.49,44.51
Ks 5h 4h,7s,6.85844,61.16,509.345,138.797,38.84,89.155,76.5186,54.12,45.88
Ks 5h 4h,8s,8.44417,60.12,509.848,141.349,39.88,88.6518,74.093,52.07,47.93
Ks 5h 4h,9s,8.18317,59.58,499.924,139.84,40.42,98.5755,81.2982,53.92,46.08
Ks 5h 4h,Ts,10.3484,57.32,485.575,141.193,42.68,112.925,88.1914,56.91,43.09
Ks 5h 4h,Js,9.4574,58.73,491.31,139.427,41.27,107.19,86.5759,55.57,44.43
Ks 5h 4h,Qs,9.2544,58.88,498.218,141.021,41.12,100.282,81.2969,54.51,45.49
Ks 5h 4h,As,10.274,64.17,535.38,139.049,35.83,63.1204,58.7248,47.50,52.50
Ks 9h 7s,,3.459,62.94,529.502,140.208,37.06,68.998,62.0635,48.99,51.01
Ks 9h 7s,2c,3.11457,60.46,522.685,144.086,39.54,75.8154,63.914,46.88,53.12
Ks 9h 7s,3c,2.56316,59.67,516.092,144.16,40.33,82.4083,68.1057,47.48,52.52
Ks 9h 7s,4c,0.9363,60.76,506.231,138.851,39.24,92.2687,78.3886,46.54,53.46
Ks 9h 7s,5c,3.0089,65.42,548.215,139.672,34.58,50.2849,48.4679,46.68,53.32
Ks 9h 7s,6c,3.51239,67.75,567.163,139.523,32.25,31.3371,32.3899,47.74,52.26
Ks 9h 7s,7c,3.16654,61.10,527.486,143.878,38.90,71.0137,60.857,46.87,53.13
Ks 9h 7s,8c,6.09616,66.68,550.725,137.651,33.32,47.7745,47.7959,47.26,52.74
Ks 9h 7s,9c,1.61757,58.98,507.946,143.526,41.02,90.5543,73.5933,47.65,52.35
Ks 9h 7s,Tc,4.46516,62.73,536.42,142.514,37.27,62.0804,55.5279,51.40,48.60
Ks 9h 7s,Jc,3.81244,63.59,533.074,139.722,36.41,65.426,59.8936,45.90,54.10
Ks 9h 7s,Qc,3.74012,60.57,522.29,143.712,39.43,76.2101,64.4285,46.20,53.80
Ks 9h 7s,Kc,1.64053,51.36,443.835,144.027,48.64,154.665,105.994,49.65,50.35
Ks 9h 7s,Ac,3.70062,64.41,541.845,140.214,35.59,56.6553,53.058,47.82,52.18
Ks 9h 7s,2d,3.11457,60.46,522.685,144.086,39.54,75.8154,63.914,46.88,53.12
Ks 9h 7s,3d,2.56316,59.67,516.092,144.16,40.33,82.4083,68.1057,47.48,52.52
Ks 9h 7s,4d,0.9363,60.76,506.231,138.851,39.24,92.2687,78.3886,46.54,53.46
Ks 9h 7s,5d,3.0089,65.42,548.215,139.672,34.58,50.2849,48.4679,46.68,53.32
Ks 9h 7s,6d,3.51239,67.75,567.163,139.523,32.25,31.3371,32.3899,47.74,52.26
