Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 9h 7s,Qc,0.75346,28.64,74.3723,86.5532,71.36,524.128,122.418,26.63,73.37
Ks 9h 7s,Kc,1.17853,35.93,104.511,96.9565,64.07,493.99,128.503,30.98,69.02
Ks 9h 7s,Ac,0.94788,30.24,90.7172,99.9897,69.76,507.783,121.32,31.28,68.72
Ks 9h 7s,2d,0.41798,29.21,86.1034,98.2563,70.79,512.397,120.638,30.04,69.96
Ks 9h 7s,3d,0.90267,35.21,105.473,99.8428,64.79,493.027,126.833,30.58,69.42
Ks 9h 7s,4d,1.31615,37.63,119.465,105.838,62.37,479.035,127.999,37.08,62.92
Ks 9h 7s,5d,1.35991,34.98,99.997,95.2789,65.02,498.503,127.79,32.91,67.09
Ks 9h 7s,6d,1.85897,33.62,84.5279,83.8168,66.38,513.972,129.04,31.32,68.68
Ks 9h 7s,7d,0.00702,40.28,128.237,106.133,59.72,470.263,131.231,33.52,66.48
Ks 9h 7s,8d,1.51037,28.75,63.7647,73.9353,71.25,534.735,125.081,27.26,72.74
Ks 9h 7s,9d,0.7361,35.82,111.594,103.841,64.18,486.906,126.447,32.10,67.90
Ks 9h 7s,Td,3.19281,27.94,69.2178,82.5915,72.06,529.282,122.41,26.30,73.70
Ks 9h 7s,Jd,1.81211,31.33,76.044,80.8999,68.67,522.456,126.808,30.29,69.71
Ks 9h 7s,Qd,0.75346,28.64,74.3723,86.5532,71.36,524.128,122.418,26.63,73.37
Ks 9h 7s,Kd,1.17853,35.93,104.511,96.9565,64.07,493.99,128.503,30.98,69.02
Ks 9h 7s,Ad,0.94788,30.24,90.7172,99.9897,69.76,507.783,121.32,31.28,68.72
Ks 9h 7s,2h,2.29024,34.20,95.988,93.5516,65.80,502.512,127.285,30.47,69.53
Ks 9h 7s,3h,2.73626,34.95,98.2337,93.6974,65.05,500.266,128.169,30.81,69.19
Ks 9h 7s,4h,3.27621,38.00,109.167,95.7703,62.00,489.333,131.533,37.29,62.71
Ks 9h 7s,5h,2.42223,36.10,101.372,93.609,63.90,497.128,129.658,33.06,66.94
Ks 9h 7s,6h,3.188,33.18,83.3924,83.771,66.82,515.108,128.487,31.80,68.20
Ks 9h 7s,7h,0.61772,39.29,116.466,98.7971,60.71,482.034,132.343,28.84,71.16
Ks 9h 7s,8h,2.0489,27.42,66.3197,80.6217,72.58,532.18,122.206,26.61,73.39
Ks 9h 7s,Th,3.56868,28.25,72.8452,85.9396,71.75,525.655,122.111,27.86,72.14
Ks 9h 7s,Jh,2.48688,30.60,75.9946,82.7957,69.40,522.505,125.473,32.70,67.30
Ks 9h 7s,Qh,1.94587,28.55,76.3504,89.1564,71.45,522.15,121.791,28.29,71.71
Ks 9h 7s,Kh,2.99547,36.00,103.567,95.9014,64.00,494.933,128.884,28.91,71.09
Ks 9h 7s,Ah,1.65276,29.90,91.5854,102.112,70.10,506.915,120.517,31.03,68.97
Ks 9h 7s,2s,0.61111,30.40,96.4288,105.736,69.60,502.071,120.227,28.25,71.75
Ks 9h 7s,3s,0.95931,33.02,105.063,106.074,66.98,493.437,122.774,29.05,70.95
Ks 9h 7s,4s,1.1112,36.96,116.221,104.808,63.04,482.279,127.512,33.56,66.44
Ks 9h 7s,5s,1.57653,37.42,114.284,101.799,62.58,484.216,128.962,33.16,66.84
Ks 9h 7s,6s,1.58554,34.10,92.0459,89.9833,65.90,506.454,128.081,30.57,69.43
Ks 9h 7s,8s,1.46282,29.04,72.6243,83.3585,70.96,525.876,123.516,25.05,74.95
Ks 9h 7s,9s,1.60871,32.31,96.4835,99.5334,67.69,502.016,123.61,28.18,71.82
Ks 9h 7s,Ts,2.34086,31.79,91.5841,96.0374,68.21,506.916,123.857,27.47,72.53
Ks 9h 7s,Js,2.56286,33.58,89.8535,89.1852,66.42,508.646,127.64,33.42,66.58
Ks 9h 7s,Qs,1.55929,32.01,85.1423,88.6737,67.99,513.358,125.834,26.78,73.22
Ks 9h 7s,As,1.07347,32.73,98.931,100.762,67.27,499.569,123.768,28.10,71.90
Qs 8s 2h,,3.9644,35.19,89.9879,85.2434,64.81,508.512,130.767,34.68,65.32
Qs 8s 2h,2c,1.59572,36.66,99.7362,90.6852,63.34,498.764,131.24,34.18,65.82
Qs 8s 2h,3c,4.57548,38.13,98.9015,86.4514,61.87,499.598,134.591,34.68,65.32
Qs 8s 2h,4c,4.5891,37.33,102.677,91.6882,62.67,495.823,131.857,37.08,62.92
Qs 8s 2h,5c,4.2454,36.57,95.2379,86.8114,63.43,503.262,132.233,35.02,64.98
Qs 8s 2h,6c,4.25458,35.52,85.1534,79.9026,64.48,513.347,132.697,36.18,63.82
Qs 8s 2h,7c,4.28634,37.30,91.5581,81.8148,62.70,506.942,134.76,36.66,63.34
Qs 8s 2h,8c,2.23859,38.58,96.7622,83.6082,61.42,501.738,136.144,34.69,65.31
Qs 8s 2h,9c,5.97924,34.73,86.4403,82.9628,65.27,512.06,130.755,35.16,64.84
Qs 8s 2h,Tc,5.02918,29.25,65.0582,74.14,70.75,533.442,125.664,33.59,66.41
Qs 8s 2h,Jc,4.49449,32.52,80.4687,82.4765,67.48,518.031,127.95,35.11,64.89
