Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK 4h
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Ks 9h 7s,6h,15.0139,46.83,145.732,103.726,53.17,152.768,95.7774,23.98,76.02
Ks 9h 7s,7h,15.1748,46.23,155.036,111.786,53.77,143.464,88.9366,26.69,73.31
Ks 9h 7s,8h,15.705,47.94,155.542,108.153,52.06,142.958,91.5323,45.63,54.37
Ks 9h 7s,Th,15.5992,43.06,136.339,105.533,56.94,162.161,94.9367,28.40,71.60
Ks 9h 7s,Jh,14.8774,44.25,133.854,100.827,55.75,164.646,98.4469,28.80,71.20
Ks 9h 7s,Qh,15.3013,41.60,131.95,105.731,58.40,166.55,95.0617,26.96,73.04
Ks 9h 7s,Kh,14.6187,40.27,116.892,96.7457,59.73,181.608,101.357,19.63,80.37
Ks 9h 7s,Ah,13.268,45.39,149.278,109.622,54.61,149.222,91.0867,33.02,66.98
Ks 9h 7s,2s,16.652,40.80,119.637,97.7415,59.20,178.863,100.712,17.27,82.73
Ks 9h 7s,3s,16.6523,41.10,121.192,98.2937,58.90,177.308,100.342,15.76,84.24
Ks 9h 7s,4s,15.8576,43.16,127.295,98.3061,56.84,171.205,100.407,13.73,86.27
Ks 9h 7s,5s,15.9305,44.03,129.147,97.7817,55.97,169.353,100.851,18.07,81.93
Ks 9h 7s,6s,15.8996,43.55,126.144,96.5522,56.45,172.356,101.774,21.79,78.21
Ks 9h 7s,8s,15.9905,44.66,134.506,100.386,55.34,163.994,98.7852,41.67,58.33
Ks 9h 7s,9s,14.1777,38.13,113.505,99.2321,61.87,184.995,99.6651,1.23,98.77
Ks 9h 7s,Ts,15.5819,40.73,123.232,100.854,59.27,175.268,98.5695,27.29,72.71
Ks 9h 7s,Js,15.4988,42.88,124.258,96.601,57.12,174.242,101.676,20.12,79.88
Ks 9h 7s,Qs,15.4223,38.99,115.957,99.1252,61.01,182.543,99.7396,21.46,78.54
Ks 9h 7s,As,14.7404,43.50,137.524,105.389,56.50,160.976,94.9664,33.70,66.30
Qs 8s 2h,,29.9356,44.51,128.332,96.1044,55.49,170.168,102.224,22.01,77.99
Qs 8s 2h,2c,32.4079,43.41,126.184,96.9015,56.59,172.316,101.493,18.28,81.72
Qs 8s 2h,3c,32.3589,43.58,125.98,96.3539,56.42,172.52,101.93,16.04,83.96
Qs 8s 2h,4c,31.4415,44.54,128.426,96.1113,55.46,170.074,102.222,14.72,85.28
Qs 8s 2h,5c,30.5924,43.46,126.642,97.1232,56.54,171.858,101.327,14.51,85.49
Qs 8s 2h,6c,30.0829,43.95,121.895,92.4516,56.05,176.605,105.027,9.33,90.67
Qs 8s 2h,7c,30.3991,44.73,127.372,94.9199,55.27,171.128,103.207,13.57,86.43
Qs 8s 2h,8c,31.063,44.16,127.973,96.6031,55.84,170.527,101.791,17.48,82.52
Qs 8s 2h,9c,28.4015,43.83,124.414,94.6213,56.17,174.086,103.307,19.11,80.89
Qs 8s 2h,Tc,28.6787,45.18,131.694,97.1536,54.82,166.806,101.434,36.30,63.70
Qs 8s 2h,Jc,27.6611,47.41,143.914,101.186,52.59,154.586,97.9803,30.63,69.37
Qs 8s 2h,Qc,29.7339,41.33,109.77,88.5235,58.67,188.73,107.234,11.64,88.36
Qs 8s 2h,Kc,27.8115,47.98,140.678,97.729,52.02,157.822,101.134,48.02,51.98
Qs 8s 2h,Ac,25.6082,45.37,137.396,100.944,54.63,161.104,98.3009,29.90,70.10
