Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Qs 8s 2h,,23.3462,40.27,109.238,90.4312,59.73,189.262,105.613,16.98,83.02
Qs 8s 2h,2c,26.4844,39.56,109.341,92.141,60.44,189.159,104.316,6.03,93.97
Qs 8s 2h,3c,27.1688,40.56,112.766,92.6776,59.44,185.734,104.155,16.84,83.16
Qs 8s 2h,4c,26.8134,42.39,118.976,93.5582,57.61,179.523,103.872,17.11,82.89
Qs 8s 2h,5c,26.1545,40.68,114.019,93.4293,59.32,184.481,103.663,16.23,83.77
Qs 8s 2h,6c,27.2756,42.36,114.267,89.9071,57.64,184.233,106.551,15.60,84.40
Qs 8s 2h,7c,26.2737,42.46,116.735,91.6434,57.54,181.765,105.298,16.31,83.69
Qs 8s 2h,8c,25.6342,40.50,110.876,91.2451,59.50,187.624,105.12,8.73,91.27
Qs 8s 2h,9c,22.9752,40.60,110.842,90.9987,59.40,187.658,105.311,26.02,73.98
Qs 8s 2h,Tc,18.2692,36.78,95.2663,86.3506,63.22,203.234,107.148,27.53,72.47
Qs 8s 2h,Jc,19.1875,40.48,110.161,90.7138,59.52,188.339,105.475,23.42,76.58
Qs 8s 2h,Qc,26.2739,39.20,99.9208,84.9774,60.80,198.579,108.861,10.22,89.78
Qs 8s 2h,Kc,14.455,37.93,97.5736,85.742,62.07,200.926,107.908,8.77,91.23
Qs 8s 2h,Ac,17.9503,38.28,105.976,92.2823,61.72,192.524,103.976,9.64,90.36
